gene	logFC	FDR
1	TRINITY_DN126421_c2_g1_i1	-3.41587216510637	3.62539342968059e-24
2	TRINITY_DN128780_c0_g1_i1	-0.931218155004224	0.0141481521385338
3	TRINITY_DN129746_c0_g2_i1	-3.01820874013679	4.42832889707427e-13
4	TRINITY_DN122714_c15_g1_i1	-1.08675062532316	0.00180475808701806
5	TRINITY_DN102078_c0_g1_i1	-1.0991928476657	0.0104303933229746
6	TRINITY_DN130934_c0_g1_i1	-3.34442447197757	2.45485035452071e-13
7	TRINITY_DN123711_c0_g1_i1	-0.961326070205493	0.00727167197355497
8	TRINITY_DN125487_c0_g2_i2	-2.31770620081174	1.08686385822707e-08
9	TRINITY_DN132552_c1_g1_i4	-1.45765805679302	0.00348315648510633
10	TRINITY_DN120456_c0_g1_i1	-12.2328338642095	3.02842416642813e-85
11	TRINITY_DN127771_c1_g4_i4	-1.25902821726444	0.000290079488640435
12	TRINITY_DN127013_c6_g1_i2	-1.83939555624712	2.09077371417397e-05
13	TRINITY_DN107751_c0_g1_i1	-1.12239531048792	0.00122713639993235
14	TRINITY_DN97717_c0_g2_i1	-10.6254127366789	1.30203915569499e-30
15	TRINITY_DN132433_c1_g3_i2	-3.04949369049246	4.89215132377744e-19
16	TRINITY_DN130221_c2_g6_i3	-1.33887945223692	0.00251117695644399
17	TRINITY_DN128155_c0_g1_i2	-0.888914369021056	0.0299808931236599
18	TRINITY_DN135829_c0_g1_i5	-2.09915740978787	1.62934648677167e-07
19	TRINITY_DN132014_c1_g4_i2	-1.6228450036172	1.44402963233435e-06
20	TRINITY_DN122121_c0_g3_i1	-2.64562529075883	2.36830550130383e-07
21	TRINITY_DN123436_c7_g2_i5	-2.48081082024625	1.55773093717319e-08
22	TRINITY_DN136119_c4_g5_i12	-1.32558785092472	0.0234229531804064
23	TRINITY_DN126357_c1_g1_i2	-1.08335081808019	0.00245199353556238
24	TRINITY_DN129121_c4_g2_i1	-1.19310600658255	0.0146144735761731
25	TRINITY_DN125399_c0_g1_i2	-1.01612898100566	0.0401044241245966
26	TRINITY_DN135090_c1_g1_i1	-1.84025760829543	0.00128600797344722
27	TRINITY_DN120457_c0_g1_i2	-1.73308185895934	6.15368961808609e-07
28	TRINITY_DN129806_c6_g1_i1	-1.02615976914661	0.00478794875777473
29	TRINITY_DN126487_c0_g2_i2	-1.32868117433602	0.00110915826037771
30	TRINITY_DN110230_c0_g1_i1	-1.26084247738422	0.00567678124778046
31	TRINITY_DN127876_c3_g2_i2	-1.10920144273105	0.0135716941850248
32	TRINITY_DN114649_c0_g1_i2	-1.54403632887229	1.85283385101693e-05
33	TRINITY_DN126963_c1_g4_i2	-2.26939232403747	0.000103798133269287
34	TRINITY_DN135439_c2_g1_i3	-1.6998993166348	1.43239610755581e-06
35	TRINITY_DN125363_c4_g4_i4	-1.72057129774759	0.000356034262490454
36	TRINITY_DN114945_c0_g2_i1	-1.89988501077469	1.08615967590383e-05
37	TRINITY_DN135970_c0_g1_i2	-3.87218803675747	4.26509830400022e-17
38	TRINITY_DN119970_c1_g2_i1	-1.53703934246652	0.0320631734819369
39	TRINITY_DN124802_c6_g3_i1	-3.27727812636141	4.14393955902199e-07
40	TRINITY_DN122469_c0_g1_i1	-2.39409498043576	7.7398710157213e-12
41	TRINITY_DN126815_c0_g1_i5	-2.21961361724206	1.24559432178663e-06
42	TRINITY_DN129986_c2_g2_i1	-2.04929309228335	1.87394961978511e-10
43	TRINITY_DN126051_c1_g4_i2	-1.57136239460776	0.000117217393706078
44	TRINITY_DN129273_c3_g1_i1	-1.03103943727162	0.00466912062392894
45	TRINITY_DN126945_c0_g1_i2	-1.3835332314585	2.13920785378677e-05
46	TRINITY_DN125176_c0_g1_i1	-1.09515865058925	0.00290998094049831
47	TRINITY_DN125866_c5_g2_i2	-0.882901741732229	0.0229943227362586
48	TRINITY_DN131160_c3_g1_i12	-2.05217919133118	0.00019284285876862
49	TRINITY_DN83270_c0_g1_i1	-12.2185182768743	1.66178704035529e-93
50	TRINITY_DN125696_c0_g1_i2	-0.824297270134199	0.024117500144642
51	TRINITY_DN124340_c1_g1_i4	-1.88826237138013	9.17166126214256e-05
52	TRINITY_DN124818_c1_g1_i2	-1.13626504200233	0.021956583149141
53	TRINITY_DN84260_c0_g2_i1	-1.65302041727644	0.0128557352089264
